club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Aston Villa,John Fashanu,31,Centre-Forward,Wimbledon FC,€1.62m,Transfer,in,Summer,1.62,1994,1994/1995
Aston Villa,Phil King,26,Left-Back,Sheff Wed,€240Th.,Transfer,in,Summer,0.24,1994,1994/1995
Aston Villa,Nii Lamptey,19,Attacking Midfield,PSV Eindhoven,free transfer,Transfer,in,Summer,0,1994,1994/1995
Aston Villa,Gareth Farrelly,19,Left Midfield,Rotherham,"End of loanMay 1, 1995",Loan,in,Summer,NA,1994,1994/1995
Aston Villa,Bryan Small,23,defence,Birmingham,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Aston Villa,Tony Daley,26,Right Winger,Wolves,€1.50m,Transfer,out,Summer,1.5,1994,1994/1995
Aston Villa,Neil Cox,22,Centre-Back,Middlesbrough,€1.40m,Transfer,out,Summer,1.4,1994,1994/1995
Aston Villa,Steve Froggatt,21,Left Winger,Wolves,€1.20m,Transfer,out,Summer,1.2,1994,1994/1995
Aston Villa,Matthias Breitkreutz,23,Attacking Midfield,Hansa Rostock,€160Th.,Transfer,out,Summer,0.16,1994,1994/1995
Aston Villa,Stefan Beinlich,22,Attacking Midfield,Hansa Rostock,€160Th.,Transfer,out,Summer,0.16,1994,1994/1995
Aston Villa,Dariusz Kubicki,31,Right-Back,Sunderland,?,Transfer,out,Summer,NA,1994,1994/1995
Aston Villa,Bryan Small,22,defence,Birmingham,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Leeds United,Carlton Palmer,28,Defensive Midfield,Sheff Wed,€3.15m,Transfer,in,Summer,3.15,1994,1994/1995
Leeds United,Nigel Worthington,32,Left-Back,Sheff Wed,€400Th.,Transfer,in,Summer,0.4,1994,1994/1995
Leeds United,Lucas Radebe,25,Centre-Back,Kaizer Chiefs,€375Th.,Transfer,in,Summer,0.375,1994,1994/1995
Leeds United,Philemon Masinga,25,Centre-Forward,Sundowns,?,Transfer,in,Summer,NA,1994,1994/1995
Leeds United,Nathan Lowndes,17,Centre-Forward,Leeds U18,-,Transfer,in,Summer,NA,1994,1994/1995
Leeds United,Jamie Forrester,20,Left Winger,Grimsby Town,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Leeds United,Ryan Nicholls,21,attack,Strømsgodset,"End of loanAug 31, 1994",Loan,in,Summer,NA,1994,1994/1995
Leeds United,Paul Pettinger,19,Goalkeeper,Halifax Town,"End of loanMay 1, 1995",Loan,in,Summer,NA,1994,1994/1995
Leeds United,Jamie Forrester,19,Left Winger,Scunthorpe Utd.,"End of loanOct 1, 1994",Loan,in,Summer,NA,1994,1994/1995
Leeds United,Jon Newsome,23,Right-Back,Norwich,€1.50m,Transfer,out,Summer,1.5,1994,1994/1995
Leeds United,Steve Hodge,31,Central Midfield,QPR,€360Th.,Transfer,out,Summer,0.36,1994,1994/1995
Leeds United,Ray Wallace,24,Right-Back,Stoke City,free transfer,Transfer,out,Summer,0,1994,1994/1995
Leeds United,Ryan Nicholls,21,attack,Strømsgodset,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Leeds United,Jamie Forrester,19,Left Winger,Scunthorpe Utd.,loan transfer,Loan,out,Summer,NA,1994,1994/1995
West Ham United,Don Hutchison,19,Attacking Midfield,Liverpool,€2.25m,Transfer,in,Summer,2.25,1994,1994/1995
West Ham United,Marc Rieper,26,Centre-Back,Bröndby IF,€1.70m,Transfer,in,Summer,1.7,1994,1994/1995
West Ham United,Julian Dicks,26,Left-Back,Liverpool,€1.50m,Transfer,in,Summer,1.5,1994,1994/1995
West Ham United,Joey Beauchamp,23,Left Midfield,Oxford United,€1.40m,Transfer,in,Summer,1.4,1994,1994/1995
West Ham United,Adrian Richard Whitbread,22,Centre-Back,Swindon Town,€623Th.,Transfer,in,Summer,0.623,1994,1994/1995
West Ham United,John Moncur,27,Central Midfield,Swindon Town,free transfer,Transfer,in,Summer,0,1994,1994/1995
West Ham United,Ian Feuer,23,Goalkeeper,LA Salsa,?,Transfer,in,Summer,NA,1994,1994/1995
West Ham United,Mark Watson,21,attack,Sutton Utd,?,Transfer,in,Summer,NA,1994,1994/1995
West Ham United,Tony Cottee,29,Centre-Forward,Everton,?,Transfer,in,Summer,NA,1994,1994/1995
West Ham United,Jamie Victory,18,Left-Back,West Ham U18,-,Transfer,in,Summer,NA,1994,1994/1995
West Ham United,Simon Webster,31,defence,Oldham Athletic,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
West Ham United,Jeroen Boere,26,Centre-Forward,Portsmouth,"End of loanJun 30, 1994",Loan,in,Summer,NA,1994,1994/1995
West Ham United,Darren Currie,20,midfield,Shrewsbury,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
West Ham United,Ian Feuer,24,Goalkeeper,Peterborough,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
West Ham United,Joey Beauchamp,23,Left Midfield,Swindon Town,€1.00m,Transfer,out,Summer,1,1994,1994/1995
West Ham United,Peter Butler,28,Central Midfield,Notts County,€440Th.,Transfer,out,Summer,0.44,1994,1994/1995
West Ham United,Steve Jones,24,Centre-Forward,Bournemouth,€187Th.,Transfer,out,Summer,0.187,1994,1994/1995
